Date,Code,IPO price,Oversubscription,1st Day Close/IPO Price
7/13/2016,1560,1.8,600.9,0.00%
7/13/2016,1523,0.5,45,-2.00%
7/13/2016,1573,1.8,N/A,130.00%
7/13/2016,1612,1,29.8,-6.00%
7/13/2016,1579,3.3,0.6,-1.52%
7/14/2016,8333,0.6,16.3,1.67%
7/15/2016,2136,N/A,N/A,37.08%
7/15/2016,1589,3.25,N/A,5.85%
7/15/2016,8293,1,4.3,50.00%
7/15/2016,2278,3.96,N/A,21.21%
7/20/2016,6816,1,18.5,13.00%
8/1/2016,436,N/A,N/A,-10.26%
8/5/2016,8056,0.45,N/A,851.11%
8/8/2016,8300,0.15,N/A,1166.67%
8/15/2016,1559,N/A,N/A,-9.09%
8/18/2016,6178,12.68,0.7,0.00%
9/12/2016,1885,N/A,N/A,7.72%
9/12/2016,2031,0.55,N/A,5.46%
9/12/2016,3893,0.15,1694,28.67%
9/21/2016,2633,1.5,5.1,12.00%
9/28/2016,1591,0.13,381,10.77%
9/28/2016,1658,4.76,1.6,0.21%
9/30/2016,1577,1.68,4.4,8.33%
10/6/2016,1526,2.56,0,-7.81%
10/6/2016,6858,10,0.3,2.00%
10/7/2016,6099,12,4.2,0.00%
10/7/2016,2166,1.83,14.5,-1.64%
10/7/2016,8231,0.2,N/A,1400.00%
10/7/2016,8035,0.41,N/A,851.22%
10/12/2016,1460,N/A,N/A,-10.59%
10/13/2016,8023,0.43,14.8,16.28%
10/13/2016,8240,0.225,N/A,1500.00%
10/14/2016,1547,0.45,1815.1,-3.33%
10/17/2016,2113,0.7,67.4,14.29%
10/17/2016,1609,0.7,171.1,-8.57%
10/17/2016,8320,0.28,N/A,382.14%
10/17/2016,8149,0.425,N/A,1170.59%
10/20/2016,8407,1.33,1.7,0.75%
10/26/2016,1539,N/A,N/A,-8.26%
10/28/2016,3320,9.1,0.9,-1.10%
10/28/2016,8321,0.35,N/A,700.00%
10/31/2016,3306,6.4,0.3,7.34%
11/1/2016,1610,2,N/A,-17.00%
11/8/2016,3686,0.46,152.2,34.78%
11/8/2016,1572,0.75,0.8,6.67%
11/8/2016,8283,0.4,N/A,1090.00%
11/8/2016,3689,11.6,N/A,-8.62%
11/11/2016,1633,0.8,15.7,58.75%
11/11/2016,1458,5.88,N/A,13.44%
11/11/2016,8052,0.21,N/A,1900.00%
11/11/2016,6163,1.28,26.2,7.03%
11/15/2016,1272,3.78,N/A,0.00%
11/21/2016,1611,1.5,31,4.67%
11/24/2016,1608,2.88,N/A,-1.74%
11/25/2016,1629,0.7,419,8.57%
11/25/2016,6189,5.2,2.1,-1.73%
11/29/2016,1632,2,115.4,75.50%
12/2/2016,8160,0.205,703.3,65.85%
12/2/2016,8278,0.23,N/A,1330.44%
12/5/2016,1635,3.6,1,0.00%
12/8/2016,1581,0.6,530,8.33%
12/8/2016,8411,0.2,N/A,2005.00%
12/9/2016,6066,6.81,0,0.00%
12/9/2016,8308,0.6,N/A,11.67%
12/12/2016,1617,1.02,13,70.59%
12/12/2016,8039,0.325,N/A,167.69%
12/15/2016,1357,8.5,1.4,0.00%
12/15/2016,8062,0.56,1276,23.21%
12/15/2016,8342,0.74,N/A,-8.11%
12/16/2016,8353,0.74,N/A,-18.92%
12/19/2016,1580,0.7,270.3,20.00%
12/21/2016,1596,3,1,0.67%
12/30/2016,8343,0.63,N/A,38.10%
1/3/2017,1637,1.2,798.7,70.00%
1/5/2017,8091,0.27,N/A,2937.04%
1/6/2017,8221,0.15,N/A,2033.33%
1/10/2017,8358,0.8,N/A,393.75%
1/11/2017,1536,1.15,1.1,-8.70%
1/11/2017,8416,0.6,N/A,516.67%
1/11/2017,8432,0.29,N/A,1296.55%
1/12/2017,1656,1.25,1891,10.40%
1/12/2017,1575,1.05,4.9,33.33%
1/12/2017,6122,4.56,0.1,6.80%
