DATE,BAMLH0A0HYM2
12/31/1996,3.13
1/2/1997,3.06
1/3/1997,3.09
1/6/1997,3.1
1/7/1997,3.1
1/8/1997,3.07
1/9/1997,3.13
1/10/1997,3.16
1/13/1997,3.04
1/14/1997,3.09
1/15/1997,3.07
1/16/1997,3.02
1/17/1997,3.04
1/20/1997,3.03
1/21/1997,3.05
1/22/1997,2.99
1/23/1997,2.97
1/24/1997,2.94
1/27/1997,2.9
1/28/1997,2.92
1/29/1997,2.94
1/30/1997,2.97
1/31/1997,3.04
2/3/1997,3.08
2/4/1997,3.08
2/5/1997,3.05
2/6/1997,3.03
2/7/1997,3.06
2/10/1997,3.04
2/11/1997,3.03
2/12/1997,3.01
2/13/1997,3.04
2/14/1997,3.05
2/18/1997,3.01
2/19/1997,2.98
2/20/1997,2.89
2/21/1997,2.89
2/24/1997,2.85
2/25/1997,2.83
2/26/1997,2.71
2/27/1997,2.71
2/28/1997,2.73
3/3/1997,2.71
3/4/1997,2.67
3/5/1997,2.71
3/6/1997,2.7
3/7/1997,2.74
3/10/1997,2.74
3/11/1997,2.72
3/12/1997,2.69
3/13/1997,2.62
3/14/1997,2.66
3/17/1997,2.66
3/18/1997,2.67
3/19/1997,2.67
3/20/1997,2.68
3/21/1997,2.69
3/24/1997,2.71
3/25/1997,2.69
3/26/1997,2.71
3/27/1997,2.67
3/31/1997,2.84
4/1/1997,2.9
4/2/1997,2.94
4/3/1997,2.95
4/4/1997,2.92
4/7/1997,2.95
4/8/1997,2.93
4/9/1997,2.91
4/10/1997,2.92
4/11/1997,2.87
4/14/1997,2.88
4/15/1997,2.93
4/16/1997,2.91
4/17/1997,2.92
4/18/1997,2.91
4/21/1997,2.87
4/22/1997,2.89
4/23/1997,2.83
4/24/1997,2.78
4/25/1997,2.78
4/28/1997,2.81
4/29/1997,2.91
4/30/1997,2.94
5/1/1997,2.91
5/2/1997,2.9
5/5/1997,2.86
5/6/1997,2.83
5/7/1997,2.79
5/8/1997,2.79
5/9/1997,2.81
5/12/1997,2.82
5/13/1997,2.73
5/14/1997,2.69
5/15/1997,2.7
5/16/1997,2.68
5/19/1997,2.67
5/20/1997,2.69
5/21/1997,2.67
5/22/1997,2.63
5/23/1997,2.64
5/27/1997,2.6
5/28/1997,2.61
5/29/1997,2.61
5/30/1997,2.65
5/31/1997,2.68
6/2/1997,2.66
6/3/1997,2.68
6/4/1997,2.65
6/5/1997,2.6
6/6/1997,2.7
6/9/1997,2.59
6/10/1997,2.56
6/11/1997,2.55
6/12/1997,2.59
6/13/1997,2.62
6/16/1997,2.6
6/17/1997,2.58
6/18/1997,2.62
6/19/1997,2.61
6/20/1997,2.64
6/23/1997,2.61
6/24/1997,2.6
6/25/1997,2.59
6/26/1997,2.61
6/27/1997,2.63
6/30/1997,2.67
7/1/1997,2.7
7/2/1997,2.71
7/3/1997,2.79
7/7/1997,2.82
7/8/1997,2.8
7/9/1997,2.8
7/10/1997,2.78
7/11/1997,2.76
7/14/1997,2.71
7/15/1997,2.69
7/16/1997,2.71
7/17/1997,2.7
7/18/1997,2.67
7/21/1997,2.66
7/22/1997,2.72
7/23/1997,2.69
7/24/1997,2.69
7/25/1997,2.66
7/28/1997,2.68
7/29/1997,2.7
7/30/1997,2.73
7/31/1997,2.71
8/1/1997,2.57
8/4/1997,2.55
8/5/1997,2.55
8/6/1997,2.56
8/7/1997,2.52
8/8/1997,2.49
8/11/1997,2.5
8/12/1997,2.51
8/13/1997,2.53
8/14/1997,2.54
8/15/1997,2.56
8/18/1997,2.61
8/19/1997,2.6
8/20/1997,2.58
8/21/1997,2.55
8/22/1997,2.52
8/25/1997,2.5
8/26/1997,2.51
8/27/1997,2.51
8/28/1997,2.57
8/29/1997,2.54
8/31/1997,2.59
9/2/1997,2.62
9/3/1997,2.6
9/4/1997,2.61
9/5/1997,2.6
9/8/1997,2.6
9/9/1997,2.59
9/10/1997,2.55
9/11/1997,2.55
9/12/1997,2.62
9/15/1997,2.61
9/16/1997,2.69
9/17/1997,2.65
9/18/1997,2.59
9/19/1997,2.59
9/22/1997,2.59
9/23/1997,2.57
9/24/1997,2.61
9/25/1997,2.54
9/26/1997,2.57
9/29/1997,2.55
9/30/1997,2.59
10/1/1997,2.63
10/2/1997,2.63
10/3/1997,2.61
10/6/1997,2.63
10/7/1997,2.62
10/8/1997,2.49
10/9/1997,2.51
10/10/1997,2.51
10/13/1997,2.54
10/14/1997,2.51
10/15/1997,2.48
10/16/1997,2.47
10/17/1997,2.44
10/20/1997,2.45
10/21/1997,2.45
10/22/1997,2.46
10/23/1997,2.55
10/24/1997,2.58
10/27/1997,2.84
10/28/1997,2.82
10/29/1997,2.83
10/30/1997,2.89
10/31/1997,2.99
11/3/1997,2.91
11/4/1997,2.84
11/5/1997,2.81
11/6/1997,2.83
11/7/1997,2.83
11/10/1997,2.81
11/11/1997,2.8
11/12/1997,2.83
11/13/1997,2.86
11/14/1997,2.88
11/17/1997,2.89
11/18/1997,2.88
11/19/1997,2.91
11/20/1997,2.89
11/21/1997,2.9
11/24/1997,2.87
11/25/1997,2.87
11/26/1997,2.85
11/27/1997,2.85
11/28/1997,2.84
11/30/1997,2.9
12/1/1997,2.9
12/2/1997,2.87
12/3/1997,2.88
12/4/1997,2.87
12/5/1997,2.81
12/8/1997,2.77
12/9/1997,2.79
12/10/1997,2.82
12/11/1997,2.88
12/12/1997,2.94
12/15/1997,2.89
12/16/1997,2.9
12/17/1997,2.87
12/18/1997,2.89
12/19/1997,2.93
12/22/1997,2.93
12/23/1997,2.94
12/24/1997,2.94
12/26/1997,2.93
12/29/1997,2.92
12/30/1997,2.91
12/31/1997,2.96
1/2/1998,3.02
1/5/1998,3.09
1/6/1998,3.1
1/7/1998,3.07
1/8/1998,3.1
1/9/1998,3.16
1/12/1998,3.16
1/13/1998,3.14
1/14/1998,3.1
1/15/1998,3.07
1/16/1998,3.01
1/19/1998,3.01
1/20/1998,2.98
1/21/1998,2.99
1/22/1998,2.98
1/23/1998,2.9
1/26/1998,2.92
1/27/1998,2.89
1/28/1998,2.89
1/29/1998,2.95
1/30/1998,2.98
1/31/1998,3
2/2/1998,2.96
2/3/1998,2.98
2/4/1998,2.98
2/5/1998,2.94
2/6/1998,2.93
2/9/1998,2.92
2/10/1998,2.93
2/11/1998,2.96
2/12/1998,2.95
2/13/1998,2.97
2/16/1998,2.96
2/17/1998,2.94
2/18/1998,2.94
2/19/1998,2.93
2/20/1998,2.91
2/23/1998,2.88
2/24/1998,2.83
2/25/1998,2.87
2/26/1998,2.86
2/27/1998,2.88
2/28/1998,2.87
3/2/1998,2.8
3/3/1998,2.79
3/4/1998,2.81
3/5/1998,2.82
3/6/1998,2.85
3/9/1998,2.88
3/10/1998,2.89
3/11/1998,2.89
3/12/1998,2.93
3/13/1998,2.91
3/16/1998,2.91
3/17/1998,2.88
3/18/1998,2.85
3/19/1998,2.84
3/20/1998,2.84
3/23/1998,2.83
3/24/1998,2.82
3/25/1998,2.78
3/26/1998,2.75
3/27/1998,2.73
3/30/1998,2.71
3/31/1998,2.83
4/1/1998,2.84
4/2/1998,2.88
4/3/1998,2.94
4/6/1998,2.89
4/7/1998,2.9
4/8/1998,2.87
4/9/1998,2.86
4/13/1998,2.81
4/14/1998,2.85
4/15/1998,2.84
4/16/1998,2.86
4/17/1998,2.85
4/20/1998,2.82
4/21/1998,2.8
4/22/1998,2.8
4/23/1998,2.8
4/24/1998,2.81
4/27/1998,2.79
4/28/1998,2.78
4/29/1998,2.79
4/30/1998,2.98
5/1/1998,2.98
5/4/1998,2.95
5/5/1998,2.93
5/6/1998,2.97
5/7/1998,2.97
5/8/1998,2.95
5/11/1998,2.9
5/12/1998,2.98
5/13/1998,3
5/14/1998,2.98
5/15/1998,2.97
5/18/1998,3.02
5/19/1998,3.02
5/20/1998,3.04
5/21/1998,3
5/22/1998,3.01
5/25/1998,3.01
5/26/1998,3.04
5/27/1998,3.05
5/28/1998,3.04
5/29/1998,3.05
5/31/1998,3.18
6/1/1998,3.2
6/2/1998,3.18
6/3/1998,3.18
6/4/1998,3.15
6/5/1998,3.16
6/8/1998,3.15
6/9/1998,3.15
6/10/1998,3.2
6/11/1998,3.24
6/12/1998,3.26
6/15/1998,3.3
6/16/1998,3.29
6/17/1998,3.25
6/18/1998,3.26
6/19/1998,3.28
6/22/1998,3.29
6/23/1998,3.31
6/24/1998,3.28
6/25/1998,3.28
6/26/1998,3.28
6/29/1998,3.27
6/30/1998,3.37
7/1/1998,3.39
7/2/1998,3.41
7/3/1998,3.41
7/6/1998,3.42
7/7/1998,3.39
7/8/1998,3.36
7/9/1998,3.39
7/10/1998,3.38
7/13/1998,3.34
7/14/1998,3.33
7/15/1998,3.3
7/16/1998,3.29
7/17/1998,3.29
7/20/1998,3.3
7/21/1998,3.3
7/22/1998,3.29
7/23/1998,3.31
7/24/1998,3.3
7/27/1998,3.3
7/28/1998,3.26
7/29/1998,3.29
7/30/1998,3.3
7/31/1998,3.38
8/3/1998,3.42
8/4/1998,3.48
8/5/1998,3.5
8/6/1998,3.5
8/7/1998,3.55
8/10/1998,3.58
8/11/1998,3.75
8/12/1998,3.76
8/13/1998,3.76
8/14/1998,3.78
8/17/1998,3.83
8/18/1998,3.84
8/19/1998,3.86
8/20/1998,3.9
8/21/1998,4.09
8/24/1998,4.16
8/25/1998,4.23
8/26/1998,4.36
8/27/1998,4.7
8/28/1998,4.87
8/31/1998,5.2
9/1/1998,5.26
9/2/1998,5.26
9/3/1998,5.33
9/4/1998,5.36
9/7/1998,5.35
9/8/1998,5.3
9/9/1998,5.43
9/10/1998,5.68
9/11/1998,5.7
9/14/1998,5.67
9/15/1998,5.66
9/16/1998,5.67
9/17/1998,5.7
9/18/1998,5.79
9/21/1998,5.78
9/22/1998,5.72
9/23/1998,5.72
9/24/1998,5.73
9/25/1998,5.76
9/28/1998,5.74
9/29/1998,5.76
9/30/1998,5.95
10/1/1998,6.06
10/2/1998,6.11
10/5/1998,6.29
10/6/1998,6.27
10/7/1998,6.21
10/8/1998,6.39
10/9/1998,6.32
10/12/1998,6.32
10/13/1998,6.37
10/14/1998,6.59
10/15/1998,6.67
10/16/1998,6.78
10/19/1998,6.78
10/20/1998,6.65
10/21/1998,6.59
10/22/1998,6.49
10/23/1998,6.37
10/26/1998,6.38
10/27/1998,6.43
10/28/1998,6.49
10/29/1998,6.5
10/30/1998,6.36
10/31/1998,6.52
11/2/1998,6.33
11/3/1998,6.27
11/4/1998,6.11
11/5/1998,6.09
11/6/1998,5.95
11/9/1998,5.93
11/10/1998,5.88
11/11/1998,5.85
11/12/1998,5.82
11/13/1998,5.73
11/16/1998,5.62
11/17/1998,5.53
11/18/1998,5.54
11/19/1998,5.47
11/20/1998,5.45
11/23/1998,5.41
11/24/1998,5.36
11/25/1998,5.33
11/26/1998,5.33
11/27/1998,5.34
11/30/1998,5.44
12/1/1998,5.48
12/2/1998,5.55
12/3/1998,5.55
12/4/1998,5.53
12/7/1998,5.45
12/8/1998,5.54
12/9/1998,5.56
12/10/1998,5.61
12/11/1998,5.56
12/14/1998,5.64
12/15/1998,5.59
12/16/1998,5.64
12/17/1998,5.64
12/18/1998,5.63
12/21/1998,5.58
12/22/1998,5.53
12/23/1998,5.43
12/24/1998,5.39
12/28/1998,5.44
12/29/1998,5.48
12/30/1998,5.51
12/31/1998,5.66
1/4/1999,5.63
1/5/1999,5.57
1/6/1999,5.56
1/7/1999,5.53
1/8/1999,5.41
1/11/1999,5.37
1/12/1999,5.46
1/13/1999,5.6
1/14/1999,5.67
1/15/1999,5.62
1/18/1999,5.63
1/19/1999,5.55
1/20/1999,5.49
1/21/1999,5.54
1/22/1999,5.59
1/25/1999,5.56
1/26/1999,5.54
1/27/1999,5.54
1/28/1999,5.53
1/29/1999,5.53
1/31/1999,5.6
2/1/1999,5.54
2/2/1999,5.49
2/3/1999,5.45
2/4/1999,5.41
2/5/1999,5.36
2/8/1999,5.36
2/9/1999,5.41
2/10/1999,5.35
2/11/1999,5.33
2/12/1999,5.24
2/15/1999,5.22
2/16/1999,5.25
2/17/1999,5.29
2/18/1999,5.23
2/19/1999,5.23
2/22/1999,5.31
2/23/1999,5.26
2/24/1999,5.22
2/25/1999,5.15
2/26/1999,5.21
2/28/1999,5.21
