DATE,MYAGM2USM052N
1959-01-01,289800000000.000
1959-02-01,287700000000.000
1959-03-01,287900000000.000
1959-04-01,290200000000.000
1959-05-01,290200000000.000
1959-06-01,292500000000.000
1959-07-01,294400000000.000
1959-08-01,294800000000.000
1959-09-01,296100000000.000
1959-10-01,296900000000.000
1959-11-01,297800000000.000
1959-12-01,300600000000
1960-01-01,301500000000.000
1960-02-01,298500000000.000
1960-03-01,298200000000.000
1960-04-01,300300000000.000
1960-05-01,298900000000.000
1960-06-01,300900000000.000
1960-07-01,303500000000.000
1960-08-01,305200000000.000
1960-09-01,307800000000.000
1960-10-01,309900000000.000
1960-11-01,311700000000.000
1960-12-01,315300000000.000
1961-01-01,317500000000
1961-02-01,316600000000.000
1961-03-01,317200000000.000
1961-04-01,320200000000.000
1961-05-01,320000000000
1961-06-01,322700000000.000
1961-07-01,324900000000.000
1961-08-01,325800000000.000
1961-09-01,328800000000.000
1961-10-01,331500000000.000
1961-11-01,334100000000.000
1961-12-01,338500000000.000
1962-01-01,341100000000.000
1962-02-01,340300000000.000
1962-03-01,342100000000.000
1962-04-01,346000000000
1962-05-01,345000000000
1962-06-01,347700000000.000
1962-07-01,350100000000.000
1962-08-01,350900000000.000
1962-09-01,353900000000.000
1962-10-01,357500000000.000
1962-11-01,360500000000.000
1962-12-01,365800000000.000
1963-01-01,369100000000.000
1963-02-01,368000000000
1963-03-01,369800000000.000
1963-04-01,373800000000.000
1963-05-01,373400000000.000
1963-06-01,376700000000.000
1963-07-01,380200000000.000
1963-08-01,381500000000.000
1963-09-01,384900000000.000
1963-10-01,388800000000.000
1963-11-01,392300000000.000
1963-12-01,396400000000
1964-01-01,399600000000
1964-02-01,397600000000.000
1964-03-01,398900000000.000
1964-04-01,402400000000.000
1964-05-01,401300000000.000
1964-06-01,405300000000.000
1964-07-01,409300000000.000
1964-08-01,411100000000.000
1964-09-01,415800000000.000
1964-10-01,419900000000.000
1964-11-01,422900000000.000
1964-12-01,428300000000
1965-01-01,432300000000.000
1965-02-01,430100000000.000
1965-03-01,432200000000.000
1965-04-01,436200000000.000
1965-05-01,433700000000.000
1965-06-01,438400000000.000
1965-07-01,442100000000.000
1965-08-01,443300000000.000
1965-09-01,448400000000.000
1965-10-01,453600000000.000
1965-11-01,456700000000.000
1965-12-01,463100000000
1966-01-01,467100000000.000
1966-02-01,463700000000.000
1966-03-01,465900000000
1966-04-01,470100000000.000
1966-05-01,466200000000.000
1966-06-01,469600000000.000
1966-07-01,470300000000.000
1966-08-01,470200000000.000
1966-09-01,474600000000.000
1966-10-01,476900000000.000
1966-11-01,478100000000.000
1966-12-01,483700000000
1967-01-01,486400000000.000
1967-02-01,483600000000.000
1967-03-01,488100000000.000
1967-04-01,492900000000.000
1967-05-01,493300000000.000
1967-06-01,500900000000.000
1967-07-01,506200000000.000
1967-08-01,508600000000.000
1967-09-01,514200000000.000
1967-10-01,519300000000.000
1967-11-01,521600000000.000
1967-12-01,528000000000
1968-01-01,531900000000
1968-02-01,528100000000.000
1968-03-01,531600000000.000
1968-04-01,536900000000
1968-05-01,535400000000.000
1968-06-01,542200000000.000
1968-07-01,546200000000.000
1968-08-01,547600000000.000
1968-09-01,553100000000.000
1968-10-01,558500000000.000
1968-11-01,562500000000.000
1968-12-01,569700000000
1969-01-01,573500000000
1969-02-01,569100000000.000
1969-03-01,572800000000.000
1969-04-01,577400000000.000
1969-05-01,573500000000.000
1969-06-01,578700000000
1969-07-01,580600000000.000
1969-08-01,578400000000.000
1969-09-01,581400000000.000
1969-10-01,583700000000.000
1969-11-01,584800000000.000
1969-12-01,590100000000
1970-01-01,592000000000
1970-02-01,583400000000.000
1970-03-01,587300000000.000
1970-04-01,592900000000.000
1970-05-01,590800000000.000
1970-06-01,597500000000.000
1970-07-01,601200000000.000
1970-08-01,603000000000
1970-09-01,608700000000.000
1970-10-01,614000000000
1970-11-01,618300000000.000
1970-12-01,627800000000
1971-01-01,635500000000.000
1971-02-01,638000000000
1971-03-01,650000000000
1971-04-01,663500000000.000
1971-05-01,666100000000.000
1971-06-01,675900000000.000
1971-07-01,682300000000.000
1971-08-01,683700000000.000
1971-09-01,689700000000.000
1971-10-01,695600000000.000
1971-11-01,701200000000.000
1971-12-01,711200000000
1972-01-01,720000000000
1972-02-01,722200000000.000
1972-03-01,733700000000.000
1972-04-01,743800000000.000
1972-05-01,742600000000.000
1972-06-01,753200000000.000
1972-07-01,763000000000
1972-08-01,767000000000
1972-09-01,775200000000.000
1972-10-01,783600000000.000
1972-11-01,790200000000.000
1972-12-01,803100000000.000
1973-01-01,812300000000
1973-02-01,810100000000.000
1973-03-01,815600000000.000
1973-04-01,825400000000.000
1973-05-01,825800000000.000
1973-06-01,837200000000.000
1973-07-01,840700000000.000
1973-08-01,837400000000.000
1973-09-01,836000000000
1973-10-01,839300000000.000
1973-11-01,845400000000.000
1973-12-01,856500000000.000
1974-01-01,861500000000
1974-02-01,859800000000.000
1974-03-01,869900000000.000
1974-04-01,878600000000.000
1974-05-01,873400000000.000
1974-06-01,881900000000.000
1974-07-01,886000000000
1974-08-01,882900000000.000
1974-09-01,884700000000.000
1974-10-01,890400000000.000
1974-11-01,895400000000.000
1974-12-01,903500000000.000
1975-01-01,908000000000
1975-02-01,908700000000.000
1975-03-01,924400000000.000
1975-04-01,941100000000.000
1975-05-01,946200000000.000
1975-06-01,966900000000.000
1975-07-01,979700000000.000
1975-08-01,982400000000.000
1975-09-01,988400000000.000
1975-10-01,995600000000.000
1975-11-01,1004800000000.0000
1975-12-01,1017800000000
1976-01-01,1028300000000
1976-02-01,1034200000000.0000
1976-03-01,1047700000000.0000
1976-04-01,1066900000000.0000
1976-05-01,1070300000000.0000
1976-06-01,1080800000000.0000
1976-07-01,1091600000000
1976-08-01,1097300000000.0000
1976-09-01,1108400000000.0000
1976-10-01,1125100000000.0000
1976-11-01,1135000000000.000
1976-12-01,1153500000000.0000
1977-01-01,1167500000000
1977-02-01,1169900000000.0000
1977-03-01,1185300000000.0000
1977-04-01,1206600000000.0000
1977-05-01,1205500000000.0000
1977-06-01,1219800000000.0000
1977-07-01,1232900000000.0000
1977-08-01,1235300000000.0000
1977-09-01,1244700000000
1977-10-01,1255900000000.0000
1977-11-01,1260200000000.0000
1977-12-01,1273000000000.000
1978-01-01,1282300000000.0000
1978-02-01,1276800000000.0000
1978-03-01,1288200000000.0000
1978-04-01,1307400000000.0000
1978-05-01,1304800000000.0000
1978-06-01,1319000000000.000
1978-07-01,1330100000000.0000
1978-08-01,1331400000000.0000
1978-09-01,1344700000000.0000
1978-10-01,1355300000000.0000
1978-11-01,1358100000000.0000
1978-12-01,1370800000000.0000
1979-01-01,1375200000000
1979-02-01,1369300000000.0000
1979-03-01,1384000000000.000
1979-04-01,1408400000000.0000
1979-05-01,1402700000000.0000
1979-06-01,1422500000000.0000
1979-07-01,1439300000000.0000
1979-08-01,1444300000000.0000
1979-09-01,1454500000000.0000
1979-10-01,1463600000000.0000
1979-11-01,1466400000000.0000
1979-12-01,1479000000000
1980-01-01,1486200000000
1980-02-01,1486300000000
1980-03-01,1497200000000
1980-04-01,1507700000000
1980-05-01,1504200000000
1980-06-01,1527400000000
1980-07-01,1549100000000
1980-08-01,1560700000000
1980-09-01,1573100000000
1980-10-01,1588500000000
1980-11-01,1599000000000
1980-12-01,1604800000000
1981-01-01,1610600000000
1981-02-01,1610500000000
1981-03-01,1633200000000
1981-04-01,1664500000000
1981-05-01,1655400000000
1981-06-01,1667100000000
1981-07-01,1685100000000
1981-08-01,1694600000000
1981-09-01,1706400000000
1981-10-01,1726400000000
1981-11-01,1741000000000
1981-12-01,1760300000000
1982-01-01,1772800000000
1982-02-01,1765300000000
1982-03-01,1781700000000
1982-04-01,1807900000000
1982-05-01,1804900000000
1982-06-01,1822700000000
1982-07-01,1837200000000
1982-08-01,1849200000000
1982-09-01,1863100000000
1982-10-01,1879700000000
1982-11-01,1893800000000
1982-12-01,1917200000000
1983-01-01,1966900000000
1983-02-01,1988600000000
1983-03-01,2012200000000
1983-04-01,2036100000000
1983-05-01,2034200000000
1983-06-01,2054100000000
1983-07-01,2071900000000
1983-08-01,2074700000000
1983-09-01,2083300000000
1983-10-01,2104300000000
1983-11-01,2119900000000
1983-12-01,2136200000000
1984-01-01,2147100000000
1984-02-01,2150000000000
1984-03-01,2171300000000
1984-04-01,2198200000000
1984-05-01,2193700000000
1984-06-01,2216600000000
1984-07-01,2230200000000.0000
1984-08-01,2231000000000.000
1984-09-01,2244900000000.0000
1984-10-01,2261900000000.0000
1984-11-01,2288600000000.0000
1984-12-01,2320900000000
1985-01-01,2342100000000
1985-02-01,2345700000000
1985-03-01,2362800000000
1985-04-01,2382100000000
1985-05-01,2379000000000
1985-06-01,2416000000000
1985-07-01,2437200000000
1985-08-01,2444900000000
1985-09-01,2455200000000
1985-10-01,2468900000000
1985-11-01,2484400000000
1985-12-01,2506600000000
1986-01-01,2513500000000
1986-02-01,2504600000000.0000
1986-03-01,2530100000000.0000
1986-04-01,2567400000000.0000
1986-05-01,2574100000000.0000
1986-06-01,2608300000000.0000
1986-07-01,2635500000000.0000
1986-08-01,2649000000000.000
1986-09-01,2665100000000
1986-10-01,2688200000000.0000
1986-11-01,2708800000000.0000
1986-12-01,2744300000000.0000
1987-01-01,2757000000000
1987-02-01,2738800000000.0000
1987-03-01,2751300000000
1987-04-01,2782500000000.0000
1987-05-01,2763400000000
1987-06-01,2776900000000
1987-07-01,2788800000000
1987-08-01,2791100000000.0000
1987-09-01,2797000000000.000
1987-10-01,2815200000000.0000
1987-11-01,2826200000000.0000
1987-12-01,2842900000000.0000
1988-01-01,2861800000000.0000
1988-02-01,2863400000000.0000
1988-03-01,2891300000000.0000
1988-04-01,2930000000000
1988-05-01,2915400000000.0000
1988-06-01,2939600000000.0000
1988-07-01,2958600000000.0000
1988-08-01,2955400000000.0000
1988-09-01,2955700000000.0000
1988-10-01,2967700000000.0000
1988-11-01,2988400000000.0000
1988-12-01,3006300000000.0000
1989-01-01,3004400000000
1989-02-01,2988100000000.0000
1989-03-01,3004600000000.0000
1989-04-01,3028700000000.0000
1989-05-01,3001500000000.0000
1989-06-01,3028100000000.0000
1989-07-01,3061200000000.0000
1989-08-01,3076700000000.0000
1989-09-01,3092200000000.0000
1989-10-01,3115400000000.0000
1989-11-01,3141900000000.0000
1989-12-01,3171400000000.0000
1990-01-01,3176100000000
1990-02-01,3176200000000.0000
1990-03-01,3198100000000.0000
1990-04-01,3225200000000.0000
1990-05-01,3191700000000.0000
1990-06-01,3215500000000
1990-07-01,3229000000000
1990-08-01,3243200000000.0000
1990-09-01,3253600000000.0000
1990-10-01,3258200000000
1990-11-01,3269800000000.0000
1990-12-01,3289600000000.0000
1991-01-01,3293800000000
1991-02-01,3300700000000.0000
1991-03-01,3331700000000.0000
1991-04-01,3354200000000.0000
1991-05-01,3334900000000.0000
1991-06-01,3354200000000
1991-07-01,3358500000000.0000
1991-08-01,3355400000000.0000
1991-09-01,3351500000000.0000
1991-10-01,3357900000000.0000
1991-11-01,3375300000000.0000
1991-12-01,3390500000000.0000
1992-01-01,3387100000000
1992-02-01,3393900000000.0000
1992-03-01,3408700000000.0000
1992-04-01,3422900000000.0000
1992-05-01,3391700000000.0000
1992-06-01,3392400000000
1992-07-01,3396700000000
1992-08-01,3400000000000
1992-09-01,3404700000000.0000
1992-10-01,3422400000000.0000
1992-11-01,3437000000000.000
1992-12-01,3445400000000
1993-01-01,3427700000000
1993-02-01,3404900000000.0000
1993-03-01,3414800000000.0000
1993-04-01,3434600000000
1993-05-01,3429300000000
1993-06-01,3443800000000
1993-07-01,3447000000000
1993-08-01,3445500000000.0000
1993-09-01,3448000000000.000
1993-10-01,3457100000000.0000
1993-11-01,3479200000000.0000
1993-12-01,3499900000000.0000
1994-01-01,3484900000000
1994-02-01,3464300000000.0000
1994-03-01,3482700000000.0000
1994-04-01,3510900000000.0000
1994-05-01,3482500000000.0000
1994-06-01,3485100000000.0000
1994-07-01,3499100000000.0000
1994-08-01,3488800000000.0000
1994-09-01,3483800000000.0000
1994-10-01,3485200000000.0000
1994-11-01,3499000000000.000
1994-12-01,3514900000000
1995-01-01,3501900000000
1995-02-01,3481100000000.0000
1995-03-01,3497800000000.0000
1995-04-01,3528500000000.0000
1995-05-01,3512900000000.0000
1995-06-01,3552400000000.0000
1995-07-01,3576800000000
1995-08-01,3592500000000.0000
1995-09-01,3601900000000.0000
1995-10-01,3609300000000
1995-11-01,3630600000000.0000
1995-12-01,3661000000000.000
1996-01-01,3659000000000
1996-02-01,3654900000000.0000
1996-03-01,3702200000000.0000
1996-04-01,3728900000000.0000
1996-05-01,3697500000000.0000
1996-06-01,3728700000000.0000
1996-07-01,3742100000000.0000
1996-08-01,3749800000000.0000
1996-09-01,3751600000000.0000
1996-10-01,3761600000000.0000
1996-11-01,3797500000000.0000
1996-12-01,3837600000000.0000
1997-01-01,3836400000000
1997-02-01,3831500000000.0000
1997-03-01,3869600000000.0000
1997-04-01,3902300000000.0000
1997-05-01,3866000000000
1997-06-01,3896000000000.000
1997-07-01,3914800000000.0000
1997-08-01,3949800000000.0000
1997-09-01,3958200000000.0000
1997-10-01,3973600000000.0000
1997-11-01,4013000000000.000
1997-12-01,4052700000000.0000
1998-01-01,4060900000000
1998-02-01,4077400000000.0000
1998-03-01,4126500000000.0000
1998-04-01,4169000000000.000
1998-05-01,4138700000000.0000
1998-06-01,4169800000000.0000
1998-07-01,4187800000000.0000
1998-08-01,4215500000000.0000
1998-09-01,4250000000000
1998-10-01,4286800000000.0000
1998-11-01,4341300000000
1998-12-01,4395500000000.0000
1999-01-01,4405400000000
1999-02-01,4415300000000
1999-03-01,4453200000000.0000
1999-04-01,4499300000000.0000
1999-05-01,4459400000000.0000
1999-06-01,4487500000000.0000
1999-07-01,4512200000000.0000
1999-08-01,4534000000000.000
1999-09-01,4547200000000.0000
1999-10-01,4568400000000.0000
1999-11-01,4605300000000.0000
1999-12-01,4660000000000
2000-01-01,4668900000000
2000-02-01,4668600000000.0000
2000-03-01,4729800000000.0000
2000-04-01,4798800000000.0000
2000-05-01,4724200000000.0000
2000-06-01,4747300000000.0000
2000-07-01,4764000000000
2000-08-01,4795600000000.0000
2000-09-01,4830600000000.0000
2000-10-01,4844200000000.0000
2000-11-01,4872300000000.0000
2000-12-01,4945500000000
2001-01-01,4971600000000
2001-02-01,5000600000000.0000
2001-03-01,5092100000000.0000
2001-04-01,5168000000000.000
2001-05-01,5104500000000.0000
2001-06-01,5155800000000.0000
2001-07-01,5185800000000.0000
2001-08-01,5222000000000.000
2001-09-01,5333900000000.0000
2001-10-01,5317200000000.0000
2001-11-01,5381400000000.0000
2001-12-01,5466800000000
2002-01-01,5456400000000
2002-02-01,5476400000000.0000
2002-03-01,5525300000000.0000
2002-04-01,5536900000000.0000
2002-05-01,5501800000000.0000
2002-06-01,5538500000000
