"","x"
"1",-2.63814983646416e-05
"2",-9.45206477029436e-06
"3",-2.76855239044094e-05
"4",-7.59141613498881e-06
"5",-2.82308741484549e-06
"6",-2.68652522834732e-05
"7",-2.55975508440202e-05
"8",1.27191150353175e-06
"9",2.79946712568033e-06
"10",6.086288310464e-07
"11",9.18920935437564e-06
"12",1.07967751668091e-05
"13",7.40816745741626e-07
"14",-5.04785859545503e-06
"15",-6.77388579432539e-06
"16",-6.77751494739837e-07
"17",-3.3208757664045e-06
"18",-1.33184963081433e-05
"19",-3.38984344118506e-06
"20",1.05607503388956e-06
"21",-5.88715374000181e-06
"22",-8.70825282559785e-06
"23",-1.25508210503716e-05
"24",-9.60066355505805e-06
"25",-2.37302170055482e-07
