"","x"
"1",0.296296296296296
"2",0.305555555555556
"3",0.288770053475936
"4",0.357142857142857
"5",0.393665158371041
"6",0.374468085106383
"7",0.4
"8",0.411255411255411
"9",0.40506329113924
"10",0.435344827586207
"11",0.431111111111111
"12",0.433962264150943
"13",0.436274509803922
"14",0.381642512077295
"15",0.403141361256544
"16",0.429319371727749
"17",0.402061855670103
"18",0.404040404040404
"19",0.430851063829787
"20",0.441988950276243
"21",0.440860215053763
"22",0.445652173913043
"23",0.468085106382979
"24",0.468421052631579
"25",0.481865284974093
