"","x"
"1",1.513966402647e-05
"2",1.76146589613011e-05
"3",1.38442905716051e-05
"4",1.13307500950146e-05
"5",1.14284198196418e-05
"6",6.44003051913116e-06
"7",5.14532294441677e-06
"8",5.79341513015536e-06
"9",8.11907273889666e-06
"10",5.56465111858007e-06
"11",7.39924980072543e-06
"12",1.03511235659403e-05
"13",5.47309285509012e-06
"14",7.36951756465931e-06
"15",7.52171099433183e-06
"16",8.89429405715243e-06
"17",8.66451206956503e-06
"18",8.66472527481045e-06
"19",1.08733496653118e-05
"20",1.07206211380186e-05
"21",7.62493067946526e-06
"22",7.17436768515354e-06
"23",4.40962336966611e-06
"24",3.36961085661154e-06
"25",5.22911881598344e-06
