"","x"
"1",0.00891244145506019
"2",0.0102448071988595
"3",0.00806127059580084
"4",0.00659225791520697
"5",0.00666190125768162
"6",0.00376344346709134
"7",0.00301083284758966
"8",0.00339501655244137
"9",0.00474462615602573
"10",0.00326341404115435
"11",0.00434569407052199
"12",0.00605934292639694
"13",0.00321964021703364
"14",0.00435337996520695
"15",0.00444856870304599
"16",0.00526526238985557
"17",0.00513108471763135
"18",0.00513594735084499
"19",0.0064539242736158
"20",0.00636386723646838
"21",0.00454951157653424
"22",0.00428218491858404
"23",0.00263804520226336
"24",0.00201774409673002
"25",0.00313368097378799
