Date,Open,High,Low,Close
1/3/1995,8190.42,8190.42,7833.65,7844.14
1/4/1995,7857.28,7900.41,7773.14,7887.01
1/5/1995,7908,7923.76,7842.63,7918.38
1/6/1995,7904.91,7904.91,7628.16,7683.25
1/9/1995,7678.64,7678.64,7515.85,7528.88
1/10/1995,7490.58,7543.44,7365.06,7541.72
1/11/1995,7610.79,7726.06,7389.18,7392.75
1/12/1995,7427.19,7527.05,7394.78,7418.05
1/13/1995,7400.81,7400.81,7138.27,7252.34
1/16/1995,7316.82,7519.53,7316.82,7504.24
1/17/1995,7556.67,7642.32,7546.24,7606.51
1/18/1995,7577.87,7644.68,7530.79,7630.2
1/19/1995,7623.12,7623.12,7419.18,7422
1/20/1995,7329.55,7329.55,7210.92,7278.1
1/23/1995,7243.1,7243.1,6890.08,6967.93
1/24/1995,6970.63,7035.81,6908.57,7022.9
1/25/1995,7034.25,7252.32,7034.25,7240.72
1/26/1995,7275.32,7371.75,7256.82,7310.53
1/27/1995,7300.65,7349.5,7209.23,7297.12
1/30/1995,7287.52,7343.63,7267.39,7342.65
2/3/1995,7383.67,7542.08,7383.67,7478.92
2/6/1995,7531.69,7918.46,7531.69,7897.8
2/7/1995,7927.11,8146.81,7927.11,8004.01
2/8/1995,7978.11,7978.11,7851.5,7934.83
2/9/1995,7914.62,8084.47,7871.67,8054.88
2/10/1995,8079.91,8173.64,8000.78,8012.82
2/13/1995,8010.66,8018.48,7941.01,7974.82
2/14/1995,7964.77,7964.77,7809.63,7862.67
2/15/1995,7857.7,8103.14,7838.42,8103.14
2/16/1995,8189.89,8339.57,8119.75,8133.34
2/17/1995,8111.04,8159.43,8003.89,8043.01
2/20/1995,8013.22,8013.22,7853.1,7906.74
2/21/1995,7899.86,8082.29,7899.86,8082.29
2/22/1995,8104.31,8135.64,7877.11,7909.27
2/23/1995,7933.95,8033.83,7907.16,7976.41
2/24/1995,8096.74,8236.31,8096.74,8218.95
2/27/1995,8094.96,8146.38,8006.89,8126.65
2/28/1995,8170.08,8339.91,8168.55,8327.52
3/1/1995,8337.74,8369.88,8225.4,8296.96
3/2/1995,8308.86,8348.85,8233.88,8253.33
3/3/1995,8224.15,8224.15,8115.45,8185.15
3/6/1995,8175.73,8175.73,8079.1,8093.91
3/7/1995,8065.9,8159.23,8060.57,8138.66
3/8/1995,8068.52,8068.52,7905.75,7929.99
3/9/1995,7983.54,8076.79,7973.14,8076.79
3/10/1995,8076.35,8076.35,7936.89,7949.39
3/13/1995,8021.78,8123.34,8021.78,8111.27
3/14/1995,8099.15,8109.6,8040.5,8094.58
3/15/1995,8156.84,8380.39,8156.84,8365.21
3/16/1995,8355.55,8406.13,8316.79,8347.75
3/17/1995,8428.39,8563.2,8428.39,8534.71
